fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,6
9.0,0.3,0.49,7.2,0.039,32,84,0.9938,2.94,0.32,11.5,6
5.7,0.36,0.21,6.7,0.038,51,166,0.9941,3.29,0.63,10.0,6
6.2,0.27,0.18,1.5,0.028,20,111,0.99228,3.41,0.5,10.0,5
6.9,0.44,0.27,5,0.038,33,166,0.99124,3.2,0.42,12.2,6
7.2,0.55,0.09,1.5,0.108,16,151,0.9938,3.07,0.57,9.2,4
8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12.0,6
8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5
7.5,0.42,0.19,6.9,0.041,62,150,0.99508,3.23,0.37,10.0,6
6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5
6.3,0.19,0.32,2.8,0.046,18,80,0.99043,2.92,0.47,11.05,6
6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5
7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5
6.4,0.3,0.45,3.5,0.197,76,180,0.9942,3.02,0.39,9.1,6
7.4,0.49,0.24,15.1,0.03,34,153,0.9953,3.13,0.51,12.0,7
7.0,0.28,0.36,1,0.035,8,70,0.9899,3.09,0.46,12.1,6
6.6,0.32,0.36,8,0.047,57,168,0.9949,3.15,0.46,9.6,5
7.1,0.44,0.27,8.4,0.057,60,160,0.99257,3.16,0.36,11.8,6
7.2,0.27,0.28,15.2,0.046,6,41,0.99665,3.17,0.39,10.9,6
7.2,0.18,0.31,1.1,0.045,20,73,0.9925,3.32,0.4,10.8,7
6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7
7.7,0.28,0.63,11.1,0.039,58,179,0.9979,3.08,0.44,8.8,4
7.5,0.19,0.4,7.1,0.056,50,110,0.9954,3.06,0.52,9.9,6
7.4,0.18,0.27,1.3,0.048,26,105,0.994,3.52,0.66,10.6,6
7.1,0.21,0.31,3.8,0.021,40,142,0.99215,3.17,0.39,10.8,7
5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6
6.0,0.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,6
6.9,0.31,0.32,1.2,0.024,20,166,0.99208,3.05,0.54,9.8,6
6.3,0.3,0.19,7.7,0.049,47,184,0.99514,3.22,0.48,9.5,5
6.3,0.29,0.14,7.05,0.045,50,177,0.99564,3.23,0.42,9.0,5
5.6,0.26,0.5,11.4,0.029,25,93,0.99428,3.23,0.49,10.5,6
8.5,0.22,0.34,0.7,0.04,5,25,0.9918,3.04,0.37,10.5,4
6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6
6.8,0.24,0.38,8.3,0.045,50,185,0.99578,3.15,0.5,9.5,6
7.1,0.25,0.31,2.3,0.05,32,156,0.9914,3.14,0.51,11.4,6
6.0,0.24,0.28,3.95,0.038,61,134,0.99146,3.3,0.54,11.3,7
6.6,0.4,0.3,5.3,0.038,20,125,0.99204,3.36,0.73,12.6,6
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6
7.2,0.27,0.37,5.4,0.026,27,114,0.99174,3.13,0.84,12.7,5
7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6
6.2,0.47,0.21,1,0.044,13,98,0.99345,3.14,0.46,9.2,5
8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5
6.0,0.23,0.34,1.3,0.025,23,111,0.98961,3.36,0.37,12.7,6
5.8,0.26,0.24,9.2,0.044,55,152,0.9961,3.31,0.38,9.4,5
5.8,0.33,0.23,5,0.053,29,106,0.99458,3.13,0.52,9.0,5
7.1,0.46,0.23,13.7,0.045,44,192,0.9981,3.11,0.53,9.4,5
6.0,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6
6.4,0.33,0.24,1.6,0.054,25,117,0.9943,3.36,0.5,9.3,5
7.6,0.2,0.36,1.9,0.043,24,111,0.99237,3.29,0.54,11.3,6
7.9,0.14,0.74,1.2,0.028,30,165,0.991,3.08,0.82,12.3,6
7.2,0.26,0.4,6.3,0.047,52,172,0.99573,3.18,0.53,9.5,6
7.2,0.16,0.49,1.3,0.037,27,104,0.9924,3.23,0.57,10.6,6
6.5,0.18,0.31,1.7,0.044,30,127,0.9928,3.49,0.5,10.2,7
7.5,0.29,0.31,8.95,0.055,20,151,0.9968,3.08,0.54,9.3,5
6.9,0.33,0.21,1,0.053,39,148,0.9927,3.12,0.45,9.4,6
8.0,0.26,0.36,2,0.054,30,121,0.992,3.09,0.72,11.6,7
6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7,5
6.5,0.28,0.28,20.4,0.041,40,144,1.0002,3.14,0.38,8.7,5
7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,6
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7
8.9,0.27,0.28,0.8,0.024,29,128,0.98984,3.01,0.35,12.4,6
6.6,0.25,0.3,14.4,0.052,40,183,0.998,3.02,0.5,9.1,6
6.4,0.4,0.19,3.2,0.033,28,124,0.9904,3.22,0.54,12.7,7
6.6,0.39,0.39,11.9,0.057,51,221,0.99851,3.26,0.51,8.9,6
7.8,0.18,0.31,12.2,0.053,46,140,0.998,3.06,0.53,8.9,6
7.2,0.19,0.31,6.3,0.034,17,103,0.99305,3.15,0.52,11.4,7
9.1,0.27,0.45,10.6,0.035,28,124,0.997,3.2,0.46,10.4,9
5.7,0.15,0.28,3.7,0.045,57,151,0.9913,3.22,0.27,11.2,6
6.9,0.2,0.5,10,0.036,78,167,0.9964,3.15,0.55,10.2,6
7.9,0.31,0.22,13.3,0.048,46,212,0.99942,3.47,0.59,10.0,5
5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6
8.1,0.12,0.49,1.2,0.042,43,160,0.9934,3.13,0.48,9.7,6
6.7,0.5,0.38,7.5,0.046,26,175,0.99662,3.32,0.54,9.6,5
5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,7
7.4,0.23,0.43,1.4,0.044,22,113,0.9938,3.22,0.62,10.6,6
6.0,0.32,0.3,1.3,0.025,18,112,0.98802,3.07,0.64,13.3,7
7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
9.8,0.25,0.74,10,0.056,36,225,0.9977,3.06,0.43,10.0,4
6.5,0.21,0.51,17.6,0.045,34,125,0.99966,3.2,0.47,8.8,6
5.8,0.335,0.14,5.8,0.046,49,197,0.9937,3.3,0.71,10.3,5
7.0,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,6
6.8,0.21,0.27,2.1,0.03,26,139,0.99,3.16,0.61,12.6,7
6.0,0.44,0.26,3.1,0.053,57,128,0.98982,3.22,0.39,12.7,6
6.5,0.41,0.22,4.8,0.052,49,142,0.9946,3.14,0.62,9.2,5
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7
6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6
6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,5
7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5
7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6
5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,5
6.1,0.28,0.25,6.9,0.056,44,201,0.9955,3.19,0.4,9.1,6
7.9,0.51,0.34,2.6,0.049,13,135,0.99335,3.09,0.51,10.0,5
7.0,0.14,0.49,5.9,0.053,22,118,0.9954,3.36,0.36,9.4,6
5.0,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,6
5.9,0.22,0.38,1.3,0.046,24,90,0.99232,3.2,0.47,10.0,6
