fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,5
6.1,0.27,0.32,1.1,0.034,24,110,0.9898,3.36,0.4,12.5,6
7.3,0.31,0.25,6.65,0.032,30,138,0.99244,2.9,0.37,11.1,5
6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7
7.0,0.28,0.28,1.4,0.039,12,83,0.99173,3.18,0.65,11.1,5
6.6,0.17,0.26,7.4,0.052,45,128,0.99388,3.16,0.37,10.0,6
6.4,0.29,0.57,1,0.06,15,120,0.9924,3.06,0.41,9.5,5
7.4,0.41,0.66,10.8,0.051,77,194,0.9976,3.05,0.46,8.7,5
7.1,0.2,0.31,7.4,0.053,32,211,0.99587,3.31,0.59,10.4,6
6.6,0.24,0.27,1.4,0.057,33,152, ,3.22,0.56,9.5,6
7.2,0.115,0.3,6.8,0.056,26,105,0.9954,3.44,0.4,9.6,6
6.6,0.36,0.21,1.5,0.049,39,184,0.9928,3.18,0.41,9.9,6
6.0,0.32,0.12,5.9,0.041,34,190,0.9944,3.16,0.72,10.0,5
5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6
6.6,0.26,0.22,18.15,0.05,23,139,0.99904,3.06,0.5,9.2,5
5.7,0.135,0.3,4.6,0.042,19,101,0.9946,3.31,0.42,9.3,6
6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,7
7.1,0.22,0.32,16.9,0.056,49,158,0.9998,3.37,0.38,9.6,6
6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,5
7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,6
5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6
6.8,0.19,0.23,5.1,0.034,71,204,0.9942,3.23,0.69,10.1,5
5.7,0.12,0.26,5.5,0.034,21,99,0.99324,3.09,0.57,9.9,6
7.0,0.17,0.42,1,0.075,19,71,0.99103,3.32,0.62,11.4,6
7.1,0.32,0.34,14.5,0.039,46,150,0.995,3.38,0.5,12.5,8
6.8,0.25,0.28,5,0.035,42,126,0.99048,3.12,0.38,12.6,7
5.8,0.24,0.28,1.4,0.038,40,76,0.98711,3.1,0.29,13.9,7
5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,5
6.1,0.25,0.49,7.6,0.052,67,226,0.9956,3.16,0.47,8.9,5
6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6
6.2,0.24,0.25,12.5,0.055,47,134,0.99758,3.3,0.51,9.0,5
5.8,0.27,0.26,3.5,0.071,26,69,0.98994,3.1,0.38,11.5,6
